!CSV A.01.01
!Keysight Technologies,E5080B,MY59205176,A.15.75.32
!Date: Saturday, February 21, 2026 19:32:18
!Source: Standard

BEGIN CH1_DATA
Freq(Hz),S11(DB),S11(DEG),S12(DB),S12(DEG),S21(DB),S21(DEG),S22(DB),S22(DEG)
1975000,-5.7611661,111.66304,-1.5044981,22.529928,-1.5061119,22.508102,-6.0836291,110.42295
1977000,-5.7521586,111.55094,-1.5088176,22.484442,-1.5005329,22.520638,-6.0806437,110.45924
1979000,-5.7666712,111.48951,-1.5060422,22.439466,-1.5072244,22.421682,-6.0917773,110.49483
1981000,-5.7726088,111.54196,-1.5062315,22.446518,-1.5104157,22.430182,-6.0889735,110.49367
1983000,-5.7695403,111.4789,-1.507412,22.404173,-1.5009063,22.411354,-6.0950432,110.3516
1985000,-5.7902894,111.43523,-1.5011426,22.38682,-1.502304,22.388569,-6.0934944,110.37057
1987000,-5.7869601,111.49558,-1.5027306,22.364552,-1.5033526,22.342854,-6.1157756,110.30766
1989000,-5.7867913,111.39982,-1.4997898,22.343998,-1.4998634,22.302584,-6.1119175,110.30738
1991000,-5.8044028,111.39496,-1.4971793,22.292755,-1.5055473,22.276184,-6.1166782,110.27013
1993000,-5.7958646,111.37745,-1.4941934,22.322308,-1.4971223,22.291046,-6.1169267,110.144
1995000,-5.8029566,111.34064,-1.4890233,22.216413,-1.4924312,22.230646,-6.1232672,110.19294
1997000,-5.8021479,111.35634,-1.493656,22.172888,-1.4882517,22.196945,-6.1336098,110.0615
1999000,-5.8181095,111.24233,-1.487234,22.196457,-1.4983181,22.147146,-6.1423388,110.16943
2001000,-5.8152204,111.25352,-1.4876453,22.191408,-1.4885186,22.165064,-6.1386619,110.0451
2003000,-5.8325009,111.17051,-1.4859931,22.168633,-1.4862633,22.166843,-6.1454487,110.09829
2005000,-5.831624,111.11507,-1.4884435,22.07143,-1.485898,22.09977,-6.1573906,110.07834
2007000,-5.8263693,111.03623,-1.4883811,22.089138,-1.476593,22.074163,-6.1602497,110.00543
2009000,-5.8329487,111.13129,-1.4798678,22.056868,-1.4769546,22.040201,-6.1628466,109.9851
2011000,-5.8452549,111.11736,-1.4794601,22.044724,-1.478902,22.016035,-6.1584358,109.95319
